aig_swasi_naturo_cure_hospital,unnamed_1,unnamed_2,unnamed_3,unnamed_4,unnamed_5,unnamed_6,unnamed_7,unnamed_8,unnamed_9,unnamed_10,unnamed_11,unnamed_12,unnamed_13,unnamed_14,unnamed_15,unnamed_16,unnamed_17,unnamed_18,unnamed_19,unnamed_20,unnamed_21,unnamed_22,unnamed_23,unnamed_24,unnamed_25,unnamed_26,unnamed_27,unnamed_28,unnamed_29,unnamed_30,unnamed_31,unnamed_32,unnamed_33,unnamed_34,unnamed_35,unnamed_36,unnamed_37,unnamed_38,unnamed_39,unnamed_40,unnamed_41,unnamed_42,unnamed_43,unnamed_44,unnamed_45,unnamed_46,unnamed_47,unnamed_48,unnamed_49,unnamed_50,unnamed_51,unnamed_52,unnamed_53,unnamed_54,unnamed_55,unnamed_56,unnamed_57,unnamed_58,unnamed_59,unnamed_60,unnamed_61,unnamed_62,unnamed_63,unnamed_64,unnamed_65,unnamed_66,unnamed_67,unnamed_68,unnamed_69,unnamed_70,unnamed_71,unnamed_72,unnamed_73,unnamed_74,unnamed_75,unnamed_76,unnamed_77,unnamed_78,unnamed_79,unnamed_80,unnamed_81,unnamed_82,unnamed_83,unnamed_84,unnamed_85,unnamed_86,unnamed_87,unnamed_88
Total card collected (Rs.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash + Card total (Rs.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discrepancy (if any) (Rs.),,Must be 0. If not — call Finance tonight.,,Must be 0. If not — call Finance tonight.,,Must be 0. If not — call Finance tonight.,,Must be 0. If not — call Finance tonight.,,Must be 0. If not — call Finance tonight.,,Must be 0. If not — call Finance tonight.,,Must be 0. If not — call Finance tonight.,,Must be 0. If not — call Finance tonight.,,Must be 0. If not — call Finance tonight.,,Must be 0. If not — call Finance tonight.,,Must be 0. If not — call Finance tonight.,,Must be 0. If not — call Finance tonight.,,Must be 0. If not — call Finance tonight.,,Must be 0. If not — call Finance tonight.,,Must be 0. If not — call Finance tonight.,,Must be 0. If not — call Finance tonight.,,Must be 0. If not — call Finance tonight.,,Must be 0. If not — call Finance tonight.,,Must be 0. If not — call Finance tonight.,,Must be 0. If not — call Finance tonight.,,Must be 0. If not — call Finance tonight.,,Must be 0. If not — call Finance tonight.,,Must be 0. If not — call Finance tonight.,,Must be 0. If not — call Finance tonight.,,Must be 0. If not — call Finance tonight.,,Must be 0. If not — call Finance tonight.,,Must be 0. If not — call Finance tonight.,,Must be 0. If not — call Finance tonight.,,Must be 0. If not — call Finance tonight.,,Must be 0. If not — call Finance tonight.,,Must be 0. If not — call Finance tonight.,,,,,,,,,,Must be 0. If not — call Finance tonight.,,Must be 0. If not — call Finance tonight.,,Must be 0. If not — call Finance tonight.,,Must be 0. If not — call Finance tonight.,,Must be 0. If not — call Finance tonight.,,Must be 0. If not — call Finance tonight.,,Must be 0. If not — call Finance tonight.,,Must be 0. If not — call Finance tonight.,,Must be 0. If not — call Finance tonight.
Section B — Petty Cash Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Opening float (Rs.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total disbursed today (Rs.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physical closing balance (Rs.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Book closing balance (Rs.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discrepancy,,Must be 0. Report to Finance if not.,,Must be 0. Report to Finance if not.,,Must be 0. Report to Finance if not.,,Must be 0. Report to Finance if not.,,Must be 0. Report to Finance if not.,,Must be 0. Report to Finance if not.,,Must be 0. Report to Finance if not.,,Must be 0. Report to Finance if not.,,Must be 0. Report to Finance if not.,,Must be 0. Report to Finance if not.,,Must be 0. Report to Finance if not.,,Must be 0. Report to Finance if not.,,Must be 0. Report to Finance if not.,,Must be 0. Report to Finance if not.,,Must be 0. Report to Finance if not.,,Must be 0. Report to Finance if not.,,Must be 0. Report to Finance if not.,,Must be 0. Report to Finance if not.,,Must be 0. Report to Finance if not.,,Must be 0. Report to Finance if not.,,Must be 0. Report to Finance if not.,,Must be 0. Report to Finance if not.,,Must be 0. Report to Finance if not.,,Must be 0. Report to Finance if not.,,Must be 0. Report to Finance if not.,,Must be 0. Report to Finance if not.,,Must be 0. Report to Finance if not.,,Must be 0. Report to Finance if not.,,Must be 0. Report to Finance if not.,,Must be 0. Report to Finance if not.,,Must be 0. Report to Finance if not.,,,,,,,,,,Must be 0. Report to Finance if not.,,Must be 0. Report to Finance if not.,,Must be 0. Report to Finance if not.,,Must be 0. Report to Finance if not.,,Must be 0. Report to Finance if not.,,Must be 0. Report to Finance if not.,,Must be 0. Report to Finance if not.,,Must be 0. Report to Finance if not.,,Must be 0. Report to Finance if not.
Replenishment needed? (below 25% of float),,Yes / No — Submit BO-FRM-20B,,Yes / No — Submit BO-FRM-20B,,Yes / No — Submit BO-FRM-20B,,Yes / No — Submit BO-FRM-20B,,Yes / No — Submit BO-FRM-20B,,Yes / No — Submit BO-FRM-20B,,Yes / No — Submit BO-FRM-20B,,Yes / No — Submit BO-FRM-20B,,Yes / No — Submit BO-FRM-20B,,Yes / No — Submit BO-FRM-20B,,Yes / No — Submit BO-FRM-20B,,Yes / No — Submit BO-FRM-20B,,Yes / No — Submit BO-FRM-20B,,Yes / No — Submit BO-FRM-20B,,Yes / No — Submit BO-FRM-20B,,Yes / No — Submit BO-FRM-20B,,Yes / No — Submit BO-FRM-20B,,Yes / No — Submit BO-FRM-20B,,Yes / No — Submit BO-FRM-20B,,Yes / No — Submit BO-FRM-20B,,Yes / No — Submit BO-FRM-20B,,Yes / No — Submit BO-FRM-20B,,Yes / No — Submit BO-FRM-20B,,Yes / No — Submit BO-FRM-20B,,Yes / No — Submit BO-FRM-20B,,Yes / No — Submit BO-FRM-20B,,Yes / No — Submit BO-FRM-20B,,Yes / No — Submit BO-FRM-20B,,Yes / No — Submit BO-FRM-20B,,Yes / No — Submit BO-FRM-20B,,Yes / No — Submit BO-FRM-20B,,,,,,,,,,Yes / No — Submit BO-FRM-20B,,Yes / No — Submit BO-FRM-20B,,Yes / No — Submit BO-FRM-20B,,Yes / No — Submit BO-FRM-20B,,Yes / No — Submit BO-FRM-20B,,Yes / No — Submit BO-FRM-20B,,Yes / No — Submit BO-FRM-20B,,Yes / No — Submit BO-FRM-20B,,Yes / No — Submit BO-FRM-20B
Section C — Facility Security Check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,,✔ Done,,✔ Done,,✔ Done,,✔ Done,,✔ Done,,✔ Done,,✔ Done,,✔ Done,,✔ Done,,✔ Done,,✔ Done,,✔ Done,,✔ Done,,✔ Done,,✔ Done,,✔ Done,,✔ Done,,✔ Done,,✔ Done,,✔ Done,,✔ Done,,✔ Done,,✔ Done,,✔ Done,,✔ Done,,✔ Done,,✔ Done,,✔ Done,,✔ Done,,✔ Done,,✔ Done,,,,,,,,,,✔ Done,,✔ Done,,✔ Done,,✔ Done,,✔ Done,,✔ Done,,✔ Done,,✔ Done,,✔ Done
Last patient confirmed departed from branch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All therapy rooms checked — no person remaining,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All windows and grilles locked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All lights switched off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air conditioning units switched off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computers shut down correctly (not force-closed),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POS machine settled and switched off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCTV armed for after-hours recording,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Branch main key signed in to Key Log (BO-FRM-09),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Branch door locked — both closing staff confirm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Section D — Closing Notification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Closing notification sent to central,,Yes / No,,Yes / No,,Yes / No,,Yes / No,,Yes / No,,Yes / No,,Yes / No,,Yes / No,,Yes / No,,Yes / No,,Yes / No,,Yes / No,,Yes / No,,Yes / No,,Yes / No,,Yes / No,,Yes / No,,Yes / No,,Yes / No,,Yes / No,,Yes / No,,Yes / No,,Yes / No,,Yes / No,,Yes / No,,Yes / No,,Yes / No,,Yes / No,,Yes / No,,Yes / No,,Yes / No,,,,,,,,,,Yes / No,,Yes / No,,Yes / No,,Yes / No,,Yes / No,,Yes / No,,Yes / No,,Yes / No,,Yes / No
Time notification sent,,Must be within 15 min of locking,,Must be within 15 min of locking,,Must be within 15 min of locking,,Must be within 15 min of locking,,Must be within 15 min of locking,,Must be within 15 min of locking,,Must be within 15 min of locking,,Must be within 15 min of locking,,Must be within 15 min of locking,,Must be within 15 min of locking,,Must be within 15 min of locking,,Must be within 15 min of locking,,Must be within 15 min of locking,,Must be within 15 min of locking,,Must be within 15 min of locking,,Must be within 15 min of locking,,Must be within 15 min of locking,,Must be within 15 min of locking,,Must be within 15 min of locking,,Must be within 15 min of locking,,Must be within 15 min of locking,,Must be within 15 min of locking,,Must be within 15 min of locking,,Must be within 15 min of locking,,Must be within 15 min of locking,,Must be within 15 min of locking,,Must be within 15 min of locking,,Must be within 15 min of locking,,Must be within 15 min of locking,,Must be within 15 min of locking,,Must be within 15 min of locking,,,,,,,,,,Must be within 15 min of locking,,Must be within 15 min of locking,,Must be within 15 min of locking,,Must be within 15 min of locking,,Must be within 15 min of locking,,Must be within 15 min of locking,,Must be within 15 min of locking,,Must be within 15 min of locking,,Must be within 15 min of locking
Channel used,,WhatsApp / System / Other,,WhatsApp / System / Other,,WhatsApp / System / Other,,WhatsApp / System / Other,,WhatsApp / System / Other,,WhatsApp / System / Other,,WhatsApp / System / Other,,WhatsApp / System / Other,,WhatsApp / System / Other,,WhatsApp / System / Other,,WhatsApp / System / Other,,WhatsApp / System / Other,,WhatsApp / System / Other,,WhatsApp / System / Other,,WhatsApp / System / Other,,WhatsApp / System / Other,,WhatsApp / System / Other,,WhatsApp / System / Other,,WhatsApp / System / Other,,WhatsApp / System / Other,,WhatsApp / System / Other,,WhatsApp / System / Other,,WhatsApp / System / Other,,WhatsApp / System / Other,,WhatsApp / System / Other,,WhatsApp / System / Other,,WhatsApp / System / Other,,WhatsApp / System / Other,,WhatsApp / System / Other,,WhatsApp / System / Other,,WhatsApp / System / Other,,,,,,,,,,WhatsApp / System / Other,,WhatsApp / System / Other,,WhatsApp / System / Other,,WhatsApp / System / Other,,WhatsApp / System / Other,,WhatsApp / System / Other,,WhatsApp / System / Other,,WhatsApp / System / Other,,WhatsApp / System / Other
⚠  Two persons must be present throughout closing.  No solo closing.  No discrepancy carried to next day.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
