aig_swasi_naturo_cure_hospital,unnamed_1,unnamed_2,branch_operations_system_bo_frm_01,unnamed_4,unnamed_5,unnamed_6,unnamed_7,unnamed_8,unnamed_9,unnamed_10,unnamed_11,unnamed_12,unnamed_13,unnamed_14,unnamed_15,unnamed_16,unnamed_17,unnamed_18,unnamed_19,unnamed_20,unnamed_21,unnamed_22,unnamed_23,unnamed_24,unnamed_25,unnamed_26,unnamed_27,unnamed_28,unnamed_29,unnamed_30,unnamed_31,unnamed_32,unnamed_33,unnamed_34,unnamed_35,unnamed_36,unnamed_37,unnamed_38,unnamed_39,unnamed_40,unnamed_41,unnamed_42,unnamed_43,unnamed_44,unnamed_45,unnamed_46,unnamed_47,unnamed_48,unnamed_49,unnamed_50,unnamed_51,unnamed_52,unnamed_53,unnamed_54,unnamed_55,unnamed_56,unnamed_57,unnamed_58,unnamed_59,unnamed_60,unnamed_61,unnamed_62,unnamed_63,unnamed_64,unnamed_65,unnamed_66,unnamed_67,unnamed_68,unnamed_69,unnamed_70,unnamed_71,unnamed_72,unnamed_73,unnamed_74,unnamed_75,unnamed_76,unnamed_77,unnamed_78,unnamed_79,unnamed_80,unnamed_81,unnamed_82,unnamed_83,unnamed_84,unnamed_85,unnamed_86,unnamed_87,unnamed_88,unnamed_89,unnamed_90,unnamed_91,unnamed_92,unnamed_93,unnamed_94,unnamed_95,unnamed_96,unnamed_97,unnamed_98,unnamed_99,unnamed_100,unnamed_101,unnamed_102,unnamed_103,unnamed_104,unnamed_105,unnamed_106,unnamed_107,unnamed_108,unnamed_109,unnamed_110,unnamed_111,unnamed_112,unnamed_113,unnamed_114,unnamed_115,unnamed_116,unnamed_117,unnamed_118,unnamed_119,unnamed_120,unnamed_121,unnamed_122,unnamed_123,unnamed_124,unnamed_125,unnamed_126,unnamed_127,unnamed_128,unnamed_129,unnamed_130,unnamed_131,unnamed_132,unnamed_133,unnamed_134,unnamed_135,unnamed_136,unnamed_137,unnamed_138,unnamed_139,unnamed_140,unnamed_141,unnamed_142,unnamed_143,unnamed_144,unnamed_145,unnamed_146,unnamed_147,unnamed_148,unnamed_149,unnamed_150,unnamed_151
Doctor Room,Clean and stocked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corridors & Exits,"Clear, no obstructions, exits accessible",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stock Room,"No overnight damage, emergency route clear",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Section B — Utilities & Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,DAY 01,,,,DAY 02,,,,DAY 03,,,,DAY 04,,,,DAY 05,,,,DAY 06,,,,DAY 07,,,,DAY 08,,,,DAY 09,,,,DAY 10,,,,DAY 11,,,,DAY 12,,,,DAY 13,,,,DAY 14,,,,DAY 15,,,,DAY 16,,,,DAY 17,,,,DAY 18,,,,DAY 19,,,,DAY 20,,,,DAY 21,,,,DAY 22,,,,DAY 23,,,,DAY 24,,,,DAY 25,,,,DAY 26,,,,DAY 27,,,,DAY 28,,,,DAY 29,,,,DAY 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
System / Equipment,,Expected Status,,✔ / ✗,If ✗ — Action Taken,,,✔ / ✗,If ✗ — Action Taken,,,✔ / ✗,If ✗ — Action Taken,,,✔ / ✗,If ✗ — Action Taken,,,✔ / ✗,If ✗ — Action Taken,,,✔ / ✗,If ✗ — Action Taken,,,✔ / ✗,If ✗ — Action Taken,,,✔ / ✗,If ✗ — Action Taken,,,✔ / ✗,If ✗ — Action Taken,,,✔ / ✗,If ✗ — Action Taken,,,✔ / ✗,If ✗ — Action Taken,,,✔ / ✗,If ✗ — Action Taken,,,✔ / ✗,If ✗ — Action Taken,,,✔ / ✗,If ✗ — Action Taken,,,✔ / ✗,If ✗ — Action Taken,,,✔ / ✗,If ✗ — Action Taken,,,✔ / ✗,If ✗ — Action Taken,,,✔ / ✗,If ✗ — Action Taken,,,✔ / ✗,If ✗ — Action Taken,,,✔ / ✗,If ✗ — Action Taken,,,✔ / ✗,If ✗ — Action Taken,,,✔ / ✗,If ✗ — Action Taken,,,✔ / ✗,If ✗ — Action Taken,,,✔ / ✗,If ✗ — Action Taken,,,✔ / ✗,If ✗ — Action Taken,,,✔ / ✗,If ✗ — Action Taken,,,✔ / ✗,If ✗ — Action Taken,,,✔ / ✗,If ✗ — Action Taken,,,✔ / ✗,If ✗ — Action Taken,,,✔ / ✗,If ✗ — Action Taken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main Electrical Panel,,On and no faults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lights (all areas),,All functional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Conditioning,,"On, set to 23–25°C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computers / Billing Software,,Booted and logged in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Printer,,"On, test page printed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Internet,,Connected and loading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POS Machine,,"Connected, yesterday settled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCTV Recorder,,"On, all cameras recording",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Heater (if applicable),,On,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generator Fuel Level,,Adequate (>50%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Television,,Operating correctly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Therapy Equipment – Acupuncture,,In place and visually intact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Section C — Statutory Displays (verify daily — all must be present, legible, current)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Display,,,,,✔ Present & Legible,If Missing / Outdated — Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinical Establishment Registration Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rate Card (all services, current)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patient Rights Notice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grievance Redressal Information (current officer & contact),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doctor Qualifications & Registration Numbers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shops & Commercial Establishments Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lift Safety Certificate (if applicable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Section D — Sign-Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Branch Manager / Duty Manager,,,,Signature:,,Time:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Branch formally declared OPEN at:,,,Central notified: Yes / No   Via:,,,Date:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
