sno,campaign_name,date,results,cost_per_results,impressions,reach,instagram_follows,instagram_profile_visits,click_through_rate_ctr,amount_spent,gst,total_amount
20,Sales Campaign,2026-04-10,1,1186.96,166363,103979,0,51,0.081749,1186.96,213.65279999999998,1400.6128
21,Sales Campaign,2026-04-20,35,77.12285714285714,98952,50123,2,153,0.483062,2699.3,485.874,3185.174
22,hiring Leads Campaign,2026-04-22,178,8.446629213483146,30388,18542,0,134,2.833355,1503.5,270.63,1774.13
23,Iyarkai maruthuvam Leads Campaign,2026-04-24,14,99.10285714285715,122062,80857,1,57,0.488276,1387.44,249.7392,1637.1792
24,Book Leads Campaign,2026-04-24,16,74.651875,79398,53588,0,35,1.023955,1194.43,214.9974,1409.4274
25,Janu Vasti Leads Campaign,2026-05-05,16,94.0375,85896,57022,1,71,0.38535,1504.6,270.828,1775.4279999999999
26,Idhaya shanthi Sales Campaign,2026-05-06,2,274.0,28519,20260,0,22,0.459343,548.0,98.64,646.64
27,hiring  Leads Campaign,2026-05-07,57,18.506315789473682,14444,6732,0,70,1.848518,1054.86,189.87479999999996,1244.7348
28,Sales Campaign,2026-05-11,27,41.833333333333336,97839,81795,1,35,0.443586,1129.5,203.31,1332.81
29,branding  Traffic Campaign,2026-05-11,7,98.10285714285715,48277,31979,0,27,0.474346,686.72,123.6096,810.3296
30,curcumin Leads Campaign,2026-05-15,29,104.77827586206897,400971,224801,3,175,0.17308,3038.57,546.9426,3585.5126
31,op  Leads Campaign,2026-05-18,8,6.3875,1243,1138,0,0,1.367659,51.1,9.198,60.298
32,OP Lead Form  Campaign,2026-05-19,144,46.31173611111112,111237,65034,2,100,1.896851,6668.89,1200.4002,7869.2902
33,curcumin Lead form Campaign,2026-05-19,5,162.02,98388,70609,1,59,0.167703,810.1,145.818,955.918
34,paadha guasa 2 Leads Campaign,2026-05-21,405,31.814271604938273,125893,53585,8,284,3.800052,12884.78,2319.2604,15204.040400000002
35,panchakarma Leads Campaign,2026-05-26,5,253.166,42322,33393,0,37,0.727754,1265.83,227.84939999999997,1493.6794
36,paadha guasa kaviya Leads Campaign,2026-05-26,18,67.38277777777779,72473,57771,1,88,0.31736,1212.89,218.3202,1431.2102
37,fertility Leads Campaign,2026-05-26,69,42.5031884057971,111174,78047,1,146,1.506647,2932.72,527.8896,3460.6096
38,panchakarma Leads Campaign,2026-06-04,15,81.97266666666665,8019,5935,0,14,5.636613,1229.59,221.32619999999997,1450.9162
39,paadha guasa 3 Leads Campaign,2026-06-04,359,24.099805013927575,120937,53797,2,81,4.536246,8651.83,1557.3293999999999,10209.1594
40,liverforte Engagement Campaign,2026-06-10,3,214.14,16118,12735,0,9,1.079538,642.42,115.63559999999998,758.0555999999999
41,spirulina Sales Campaign,2026-06-10,132,17.855227272727273,39469,30422,2,90,1.112265,2356.89,424.24019999999996,2781.1301999999996
42,Idhaya shanthi  Leads Campaign,2026-06-10,12,35.40083333333333,9558,8459,0,0,1.71584,424.81,76.4658,501.2758
43,Hiring Leads Campaign,2026-06-15,132,9.220075757575756,24794,9671,2,161,2.887795,1217.05,219.069,1436.119
44,888 Engagement Campaign,2026-06-22,14,74.12285714285714,15689,11946,2,81,0.943336,1037.72,186.7896,1224.5096
45,Panchakarma  Leads Campaign,2026-06-25,106,21.360188679245283,35682,23898,5,57,2.665209,2264.18,407.5524,2671.7324
46,Hair oil Sales Campaign,2026-06-26,38,29.252105263157894,25986,18329,0,82,0.58493,1111.58,200.0844,1311.6644
